English,Portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,cycle.thisRepN,cycle.thisTrialN,cycle.thisN,cycle.thisIndex,study_period.thisRepN,study_period.thisTrialN,study_period.thisN,study_period.thisIndex,distractor_period.thisRepN,distractor_period.thisTrialN,distractor_period.thisN,distractor_period.thisIndex,test_period.thisRepN,test_period.thisTrialN,test_period.thisN,test_period.thisIndex,instruction_text.started,instruction_image.started,back_button.started,next_button.started,back_button.numClicks,back_button.timesOn,back_button.timesOff,next_button.numClicks,next_button.timesOn,next_button.timesOff,cue_study.started,target_study.started,debug1.started,math_prompt.started,math_problem.started,math_resp.started,math_line.started,factor1,factor2,product,distractor_response,teclas_pressionadas,teclas_pressionadas_tempo,distractor_resp_corr,prompt_msg.started,prompt_resp.started,participant,session,date,expName,psychopyVersion,frameRate,
soul,alma,,,,,0,0,0,0,0,0,0,8,,,,,,,,,35.81806239999423,35.81806239999423,35.81806239999423,35.81806239999423,0,,,5,"[3.032596899996861, 1.2811990000045625, 0.5489737000025343, 0.6007161000015913, 1.6134707000019262]","[0.00015890000213403255, 0.03171780001139268, 0.03209999999671709, 0.00022329999774228781, 1.6135008999990532]",37.51496390000102,37.51496390000102,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
beer,cerveja,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,37.681122900001355,37.681122900001355,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
egg,ovo,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,37.8656864999939,37.8656864999939,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
bucket,balde,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,38.08280440000817,38.08280440000817,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
broom,vassoura,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,38.26596279999649,38.26596279999649,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
dog,cachorro,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,38.46637609999743,38.46637609999743,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
knee,joelho,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,38.664861199998995,38.664861199998995,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
poison,veneno,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,38.86655059999612,38.86655059999612,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
cloud,nuvem,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,39.06654509999498,39.06654509999498,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
food,comida,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,39.26502439999604,39.26502439999604,,,,,,,,,,,,,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,39.51457529999607,39.51457529999607,39.96505870000692,39.96505870000692,39.96505870000692,8,3,24,24,"['num_2', 'num_4', 'return']","[113194.1960267, 113194.3786226, 113194.5574581]",1,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,41.947914400006994,41.947914400006994,42.43143900000723,42.43143900000723,42.43143900000723,20,3,60,,[],[],0,,,miryam,001,2023-01-28_15h56.53.222,aula_047,2022.2.1,59.9094767782761,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.49842950000311,44.49842950000311,,,,,,,
