target_number,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_msg.started,welcome_resp.started,welcome.stopped,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,alternatives.started,left_alt.started,right_alt.started,number.started,key_resp.started,trial.stopped,left_msg,right_msg,button_condition,corr,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Nome Completo,total_blocks,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.02012879983521998,0.08005729992873967,0.08005729992873967,6.825814199866727,,,,,,,,,,,,,,,,,,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
65,greater,0,0,0,0,0,0,0,53,41.34673409978859,,,,,,6.8278651998844,6.895226399879903,6.895226399879903,41.1859938998241,41.20918419980444,41.34673409978859,41.34673409978859,41.34673409978859,43.213059099856764,43.213059099856764,45.219115199986845,Menor que 55,Maior que 55,left-lower/right-greater,right,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
61,greater,0,0,0,0,0,1,1,49,45.24888309999369,,,,,,,,,,45.2220349998679,45.24888309999369,45.24888309999369,45.24888309999369,47.213208799948916,47.213208799948916,49.216879399959,Menor que 55,Maior que 55,left-lower/right-greater,right,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
17,lower,0,0,0,0,0,2,2,6,49.24782989989035,,,,,,,,,,49.21729850000702,49.24782989989035,49.24782989989035,49.24782989989035,51.21477389987558,51.21477389987558,53.219063999829814,Menor que 55,Maior que 55,left-lower/right-greater,left,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
54,lower,0,0,0,0,0,3,3,43,53.24767419998534,,,,,,,,,,53.21949729998596,53.24767419998534,53.24767419998534,53.24767419998534,55.21396409999579,55.21396409999579,57.21645939978771,Menor que 55,Maior que 55,left-lower/right-greater,left,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
46,lower,0,0,0,0,0,4,4,35,57.2456670999527,,,,,,,,,,57.2169772000052,57.2456670999527,57.2456670999527,57.2456670999527,59.21145149995573,59.21145149995573,61.21832189988345,Menor que 55,Maior que 55,left-lower/right-greater,left,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
45,lower,0,0,0,0,0,5,5,34,61.246339599834755,,,,,,,,,,61.218808999983594,61.246339599834755,61.246339599834755,61.246339599834755,63.21227719984017,63.21227719984017,65.21587179997005,Menor que 55,Maior que 55,left-lower/right-greater,left,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
15,lower,0,0,0,0,0,6,6,4,65.24550859979354,,,,,,,,,,65.21635769982822,65.24550859979354,65.24550859979354,65.24550859979354,67.21188869979233,67.21188869979233,68.1509532998316,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,0.9326310998294502,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
68,greater,0,0,0,0,0,7,7,56,68.177947799908,,,,,,,,,,68.15178299997933,68.177947799908,68.177947799908,68.177947799908,70.17968879989348,70.17968879989348,72.15200959984213,Menor que 55,Maior que 55,left-lower/right-greater,right,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
31,lower,0,0,0,0,0,8,8,20,72.17891769995913,,,,,,,,,,72.15330639993772,72.17891769995913,72.17891769995913,72.17891769995913,74.17876529996283,74.17876529996283,75.35367979994044,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,1.165642200037837,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
87,greater,0,0,0,0,0,9,9,75,75.37794779986143,,,,,,,,,,75.35455609997734,75.37794779986143,75.37794779986143,75.37794779986143,77.37821689993143,77.37821689993143,77.88363089994527,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.4789259999524802,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
38,lower,0,0,0,0,0,10,10,27,77.91068329988047,,,,,,,,,,77.88421559985727,77.91068329988047,77.91068329988047,77.91068329988047,79.90672769979574,79.90672769979574,81.31642429996282,Menor que 55,Maior que 55,left-lower/right-greater,left,left,1,1.3739445998799056,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
92,greater,0,0,0,0,0,11,11,80,81.342449599877,,,,,,,,,,81.31713149999268,81.342449599877,81.342449599877,81.342449599877,83.34092149999924,83.34092149999924,83.89785979990847,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.5476044998504221,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
67,greater,0,0,0,0,0,12,12,55,83.9269953998737,,,,,,,,,,83.89899859996513,83.9269953998737,83.9269953998737,83.9269953998737,85.92712719994597,85.92712719994597,87.30207719979808,Menor que 55,Maior que 55,left-lower/right-greater,right,left,0,1.3453883999027312,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
82,greater,0,0,0,0,0,13,13,70,87.32800139999017,,,,,,,,,,87.30414929986,87.32800139999017,87.32800139999017,87.32800139999017,89.34055629977956,89.34055629977956,89.65381359984167,Menor que 55,Maior que 55,left-lower/right-greater,right,right,1,0.2921866001561284,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
33,lower,0,0,0,0,0,14,14,22,89.67933129984885,,,,,,,,,,89.65484219999053,89.67933129984885,89.67933129984885,89.67933129984885,91.66067709983326,91.66067709983326,91.8642262998037,Menor que 55,Maior que 55,left-lower/right-greater,left,right,0,0.17969510005787015,None,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
79,greater,0,0,0,0,0,15,15,67,91.89328029984608,,,,,,,,,,91.86488919984549,91.89328029984608,91.89328029984608,91.89328029984608,93.91205029981211,93.91205029981211,95.87771979998797,Menor que 55,Maior que 55,left-lower/right-greater,right,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
69,greater,0,0,0,0,0,16,16,57,95.91214029979892,,,,,,,,,,95.87930349982344,95.91214029979892,95.91214029979892,95.91214029979892,97.91130769997835,97.91130769997835,99.8793770999182,Menor que 55,Maior que 55,left-lower/right-greater,right,None,0,,,Marcos,10,2024-11-07_12h08.55.467,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h09.16.093227 -0300,
,,,,,,,,,,99.91012289980426,,,,,,,,,,99.87982149980962,99.91012289980426,99.91012289980426,99.91012289980426,101.89344349992462,101.89344349992462,,,,,,,,,,,,,,,,,
